graph_degree,intermediate_graph_degree,build_algo,compression_enabled,compression_pq_bits,compression_pq_dim,enable_exact_rerank,rerank_candidate_k,search_k,exact_rerank,rerank_backend,rerank_storage_dtype,itopk_size,max_queries,max_iterations,algo,team_size,search_width,min_iterations,thread_block_size,hashmap_mode,hashmap_min_bitlen,hashmap_max_fill_rate,num_random_samplings,rand_xor_mask,n_rows_per_batch,build_time,search_time,queries_per_second,latency_per_query,online_median_latency_ms,online_p95_latency_ms,recall_at_10,total_correct,total_possible
16,32,ivf_pq,True,8,384,True,16,16,True,multi_gpu,float16,16,64,0,auto,0,1,0,0,auto,0,0.5,1,1213332,64,21.72642595297657,0.00734758100588806,136099.21404046306,0.00734758100588806,0.42356099584139884,0.4306609625928104,0.803,8030,10000
16,32,ivf_pq,True,8,384,True,16,16,True,multi_gpu,float16,16,128,0,auto,0,1,0,0,auto,0,0.5,1,1213332,128,21.72642595297657,0.005408849974628538,184882.18469558805,0.005408849974628538,0.4171260225120932,0.4221809795126319,0.8084,8084,10000
16,32,ivf_pq,True,8,384,True,16,16,True,multi_gpu,float16,16,256,0,auto,0,1,0,0,auto,0,0.5,1,1213332,256,21.72642595297657,0.003117252985248342,320795.26581007766,0.003117252985248342,0.2374709874857217,0.24331099120900035,0.6571,6571,10000
16,32,ivf_pq,True,8,384,True,24,24,True,multi_gpu,float32,24,64,0,auto,0,1,0,0,auto,0,0.5,1,1213332,64,21.72642595297657,0.019171708001522347,52160.193547731586,0.019171708001522347,0.4877864848822355,0.49907201901078224,0.8112,8112,10000
16,32,ivf_pq,True,8,384,True,24,24,True,multi_gpu,float32,24,128,0,auto,0,1,0,0,auto,0,0.5,1,1213332,128,21.72642595297657,0.016262050514342263,61492.86027109885,0.016262050514342263,0.4937809717375785,0.4975220072083175,0.8166,8166,10000
16,32,ivf_pq,True,8,384,True,24,24,True,multi_gpu,float32,24,256,0,auto,0,1,0,0,auto,0,0.5,1,1213332,256,21.72642595297657,0.014101349515840411,70915.19849761004,0.014101349515840411,0.3146854869555682,0.31962100183591247,0.7666,7666,10000
16,32,ivf_pq,True,8,384,True,32,32,True,multi_gpu,float16,32,64,0,auto,0,1,0,0,auto,0,0.5,1,1213332,64,21.72642595297657,0.007784002023981884,128468.62024432681,0.007784002023981884,0.4442160134203732,0.47140102833509445,0.8119,8119,10000
16,32,ivf_pq,True,8,384,True,32,32,True,multi_gpu,float16,32,128,0,auto,0,1,0,0,auto,0,0.5,1,1213332,128,21.72642595297657,0.004854783968767151,205982.3890070942,0.004854783968767151,0.4404660139698535,0.44296099804341793,0.8171,8171,10000
16,32,ivf_pq,True,8,384,True,32,32,True,multi_gpu,float16,32,256,0,auto,0,1,0,0,auto,0,0.5,1,1213332,256,21.72642595297657,0.003259609016822651,306785.2600845864,0.003259609016822651,0.33523098682053387,0.33876101952046156,0.8237,8237,10000
16,32,ivf_pq,True,8,384,True,48,48,True,multi_gpu,float32,48,64,0,auto,0,1,0,0,auto,0,0.5,1,1213332,64,21.72642595297657,0.03274490698822774,30539.100335802275,0.03274490698822774,0.5665970093104988,0.5774609744548798,0.9143,9143,10000
16,32,ivf_pq,True,8,384,True,48,48,True,multi_gpu,float32,48,128,0,auto,0,1,0,0,auto,0,0.5,1,1213332,128,21.72642595297657,0.029576683038612828,33810.41743911865,0.029576683038612828,0.6216670153662562,0.631441012956202,0.9151,9151,10000
16,32,ivf_pq,True,8,384,True,48,48,True,multi_gpu,float32,48,256,0,auto,0,1,0,0,auto,0,0.5,1,1213332,256,21.72642595297657,0.027419607009505853,36470.25282504301,0.027419607009505853,0.5274815193843096,0.5363420350477099,0.8942,8942,10000
16,32,ivf_pq,True,8,384,True,64,64,True,multi_gpu,float16,64,64,0,auto,0,1,0,0,auto,0,0.5,1,1213332,64,21.72642595297657,0.00842232900322415,118732.00389312627,0.00842232900322415,0.5333914887160063,0.5662320181727409,0.9143,9143,10000
16,32,ivf_pq,True,8,384,True,64,64,True,multi_gpu,float16,64,128,0,auto,0,1,0,0,auto,0,0.5,1,1213332,128,21.72642595297657,0.005834231473272666,171402.18117521104,0.005834231473272666,0.583331537200138,0.5857410142198205,0.9156,9156,10000
16,32,ivf_pq,True,8,384,True,64,64,True,multi_gpu,float16,64,256,0,auto,0,1,0,0,auto,0,0.5,1,1213332,256,21.72642595297657,0.0044458574848249555,224928.48756697663,0.0044458574848249555,0.5624215118587017,0.5639020237140357,0.9207,9207,10000
32,64,ivf_pq,True,8,384,True,16,16,True,multi_gpu,float32,16,64,0,auto,0,1,0,0,auto,0,0.5,1,1213332,64,23.149288230983075,0.015070457011461258,66354.98838817485,0.015070457011461258,0.46032152022235096,0.46284199925139546,0.9018,9018,10000
32,64,ivf_pq,True,8,384,True,16,16,True,multi_gpu,float32,16,128,0,auto,0,1,0,0,auto,0,0.5,1,1213332,128,23.149288230983075,0.01276976548251696,78309.9737711782,0.01276976548251696,0.4848620155826211,0.49010105431079865,0.9041,9041,10000
32,64,ivf_pq,True,8,384,True,16,16,True,multi_gpu,float32,16,256,0,auto,0,1,0,0,auto,0,0.5,1,1213332,256,23.149288230983075,0.010220483469311148,97842.72955410388,0.010220483469311148,0.3184859815519303,0.32342097256332636,0.8237,8237,10000
32,64,ivf_pq,True,8,384,True,24,24,True,multi_gpu,float16,24,64,0,auto,0,1,0,0,auto,0,0.5,1,1213332,64,23.149288230983075,0.008310228498885408,120333.63464483834,0.008310228498885408,0.4574409977067262,0.583201996050775,0.9145,9145,10000
32,64,ivf_pq,True,8,384,True,24,24,True,multi_gpu,float16,24,128,0,auto,0,1,0,0,auto,0,0.5,1,1213332,128,23.149288230983075,0.006150476983748376,162589.01588321288,0.006150476983748376,0.5531770293600857,0.5633309483528137,0.9169,9169,10000
32,64,ivf_pq,True,8,384,True,24,24,True,multi_gpu,float16,24,256,0,auto,0,1,0,0,auto,0,0.5,1,1213332,256,23.149288230983075,0.003895271016517654,256721.54665479303,0.003895271016517654,0.36149602965451777,0.3693409962579608,0.8892,8892,10000
32,64,ivf_pq,True,8,384,True,32,32,True,multi_gpu,float32,32,64,0,auto,0,1,0,0,auto,0,0.5,1,1213332,64,23.149288230983075,0.023874101490946487,41886.39310171396,0.023874101490946487,0.5247369990684092,0.5353320157155395,0.9161,9161,10000
32,64,ivf_pq,True,8,384,True,32,32,True,multi_gpu,float32,32,128,0,auto,0,1,0,0,auto,0,0.5,1,1213332,128,23.149288230983075,0.021439504489535466,46642.86903123605,0.021439504489535466,0.5498960090335459,0.5549919442273676,0.9188,9188,10000
32,64,ivf_pq,True,8,384,True,32,32,True,multi_gpu,float32,32,256,0,auto,0,1,0,0,auto,0,0.5,1,1213332,256,23.149288230983075,0.01929191901581362,51835.17508964755,0.01929191901581362,0.45583152677863836,0.4607809823937714,0.9199,9199,10000
32,64,ivf_pq,True,8,384,True,48,48,True,multi_gpu,float16,48,64,0,auto,0,1,0,0,auto,0,0.5,1,1213332,64,23.149288230983075,0.009702097508125007,103070.49575234133,0.009702097508125007,0.5530814814846963,0.5600809818133712,0.9625,9625,10000
32,64,ivf_pq,True,8,384,True,48,48,True,multi_gpu,float16,48,128,0,auto,0,1,0,0,auto,0,0.5,1,1213332,128,23.149288230983075,0.007271679991390556,137519.8030144298,0.007271679991390556,0.6251765007618815,0.6414219969883561,0.9602,9602,10000
32,64,ivf_pq,True,8,384,True,48,48,True,multi_gpu,float16,48,256,0,auto,0,1,0,0,auto,0,0.5,1,1213332,256,23.149288230983075,0.004979699006071314,200815.35024120673,0.004979699006071314,0.6161614728625864,0.6261820090003312,0.9479,9479,10000
32,64,ivf_pq,True,8,384,True,64,64,True,multi_gpu,float32,64,64,0,auto,0,1,0,0,auto,0,0.5,1,1213332,64,23.149288230983075,0.04212604300118983,23738.28465141517,0.04212604300118983,0.6744420097675174,0.753281987272203,0.9626,9626,10000
32,64,ivf_pq,True,8,384,True,64,64,True,multi_gpu,float32,64,128,0,auto,0,1,0,0,auto,0,0.5,1,1213332,128,23.149288230983075,0.03964302598615177,25225.117788670403,0.03964302598615177,0.7604924903716892,0.889033020939678,0.9605,9605,10000
32,64,ivf_pq,True,8,384,True,64,64,True,multi_gpu,float32,64,256,0,auto,0,1,0,0,auto,0,0.5,1,1213332,256,23.149288230983075,0.037611459993058816,26587.64111216501,0.037611459993058816,0.8111769857350737,0.8171020308509469,0.9606,9606,10000
