n_lists,pq_bits,pq_dim,n_probes,build_time,search_time,queries_per_second,latency_per_query,online_median_latency_ms,online_p95_latency_ms,recall_at_10,total_correct,total_possible
1024,4,384,8,6.666530177000823,0.006503261500256485,153768.99728860057,0.006503261500256485,0.47986099889385514,0.5488410024554469,0.8826,8826,10000
1024,4,384,16,6.666530177000823,0.00977194450024399,102333.77809043345,0.00977194450024399,0.4726114984805463,0.7454920014424715,0.9249,9249,10000
1024,4,384,24,6.666530177000823,0.012765396999384393,78336.77245198286,0.012765396999384393,0.5032310018577846,0.8369520000996999,0.9431,9431,10000
1024,4,384,32,6.666530177000823,0.015798774000359117,63296.05069211505,0.015798774000359117,0.6187470007716911,1.244783001311589,0.9526,9526,10000
1024,4,384,48,6.666530177000823,0.02196055999957025,45536.17940615217,0.02196055999957025,0.5150760007381905,0.7966120028868318,0.9608,9608,10000
1024,4,384,64,6.666530177000823,0.02683628900012991,37262.976263042896,0.02683628900012991,0.5178160008654231,0.8180529985111207,0.9652,9652,10000
2048,4,384,16,7.368830043000344,0.006598166000912897,151557.26604357085,0.006598166000912897,0.44477899791672826,0.5488360002345871,0.9141,9141,10000
2048,4,384,32,7.368830043000344,0.009788790499442257,102157.66698214429,0.009788790499442257,0.4502494994085282,0.4580249988066498,0.9432,9432,10000
2048,4,384,40,7.284038499001326,0.011360370001057163,88025.30198461344,0.011360370001057163,0.49982900236500427,0.7259650010382757,0.9469,9469,10000
2048,4,384,48,7.284038499001326,0.013082193499940331,76439.78053103718,0.013082193499940331,0.5700990022887709,0.7629259998793714,0.9516,9516,10000
2048,4,384,56,7.284038499001326,0.01441465850075474,69373.82525903342,0.01441465850075474,0.4939940008625854,0.5100939997646492,0.9544,9544,10000
2048,4,384,64,7.368830043000344,0.016375662000427837,61066.23353449,0.016375662000427837,0.4765250014315825,0.9180899978673551,0.9586,9586,10000
2048,4,384,128,7.368830043000344,0.02927131249998638,34163.14181335276,0.02927131249998638,0.49145550110551994,0.5146359981154092,0.9671,9671,10000
2048,4,768,16,8.019727824001166,0.010028325999883236,99717.54009708534,0.010028325999883236,0.47428099969692994,0.5010759996366687,0.9294,9294,10000
2048,4,768,32,8.019727824001166,0.01706001399907109,58616.59902825693,0.01706001399907109,0.4968465000274591,0.7499389976146631,0.9627,9627,10000
2048,4,768,64,8.019727824001166,0.030035024501557928,33294.462601424864,0.030035024501557928,0.5303114994603675,0.5546169995795935,0.9818,9818,10000
2048,4,768,128,8.019727824001166,0.05544806500074628,18034.89445459532,0.05544806500074628,0.5620970005111303,0.9335520007880405,0.993,9930,10000
2048,8,384,16,11.355173293999542,0.020869459000095958,47916.910543555634,0.020869459000095958,0.6336490023386432,1.3159089976397809,0.9318,9318,10000
2048,8,384,32,11.355173293999542,0.03910761550105235,25570.46721432277,0.03910761550105235,0.6183834993862547,0.6370089977281168,0.9638,9638,10000
2048,8,384,64,11.355173293999542,0.07197451100182661,13893.807489357188,0.07197451100182661,0.7143650000216439,1.0524449971853755,0.9819,9819,10000
2048,8,384,128,11.355173293999542,0.14272368800084223,7006.545402569046,0.14272368800084223,0.8741575002204627,1.2460180005291477,0.9919,9919,10000
2048,8,768,16,21.87221020099969,0.04909969800064573,20366.72404760715,0.04909969800064573,0.6949405014893273,0.9761750006873626,0.9303,9303,10000
2048,8,768,32,21.87221020099969,0.09191053100039426,10880.146041107198,0.09191053100039426,0.7549770016339608,0.8034120000957046,0.9642,9642,10000
2048,8,768,64,21.87221020099969,0.1743523989989626,5735.510413056892,0.1743523989989626,1.0103705008077668,1.894859000458382,0.9824,9824,10000
2048,8,768,128,21.87221020099969,0.3578557724995335,2794.4218784435106,0.3578557724995335,1.1223574983887374,1.8634999978530686,0.9921,9921,10000
4096,4,384,16,8.474463638001907,0.005547449500227231,180263.01996242395,0.005547449500227231,0.47375750000355765,0.7607819970871788,0.8947,8947,10000
4096,4,384,32,8.474463638001907,0.007764069499899051,128798.4348946132,0.007764069499899051,0.4532080001808936,0.5663989977620076,0.9324,9324,10000
4096,4,384,40,8.57228724000015,0.00876944999981788,114032.23691574359,0.00876944999981788,0.46243750148278195,0.48295299711753614,0.9391,9391,10000
4096,4,384,48,8.57228724000015,0.00962444050128397,103902.14370036291,0.00962444050128397,0.4989930002921028,0.9056359995156527,0.9449,9449,10000
4096,4,384,56,8.57228724000015,0.010325194498363999,96850.47581025689,0.010325194498363999,0.4973835002601845,0.8843249997880775,0.9493,9493,10000
4096,4,384,64,8.474463638001907,0.011742563499865355,85160.28037757397,0.011742563499865355,0.47384249955939595,1.1794990023190621,0.9524,9524,10000
4096,4,384,128,8.474463638001907,0.02004804149873962,49880.184060017426,0.02004804149873962,0.49527800001669675,0.5781789986940566,0.9621,9621,10000
4096,4,768,16,9.697242541999003,0.008774308500505867,113969.09510787622,0.008774308500505867,0.5233134997979505,0.941195001360029,0.9137,9137,10000
4096,4,768,32,9.697242541999003,0.012760258501657518,78368.31831189808,0.012760258501657518,0.5154184982529841,0.8642140019219369,0.9501,9501,10000
4096,4,768,64,9.697242541999003,0.021533617000386585,46439.01672357447,0.021533617000386585,0.4826179992960533,0.4954780015395954,0.9742,9742,10000
4096,4,768,128,9.697242541999003,0.04089855450183677,24450.741894926618,0.04089855450183677,0.5351735017029569,0.5630090017803013,0.9868,9868,10000
4096,8,384,16,12.845824654999888,0.01748591499926988,57188.88602865533,0.01748591499926988,0.6221554995136103,0.9594869989086874,0.9073,9073,10000
4096,8,384,32,12.845824654999888,0.031909380999422865,31338.746433786564,0.031909380999422865,0.6228910006029764,0.6717139985994436,0.9458,9458,10000
4096,8,384,64,12.845824654999888,0.06051040799866314,16526.082587678025,0.06051040799866314,0.7071884992910782,1.0561460003373213,0.9728,9728,10000
4096,8,384,128,12.845824654999888,0.11607481850114709,8615.133005701126,0.11607481850114709,0.7507679983973503,0.9846369976003189,0.9863,9863,10000
4096,8,768,16,19.77290124800129,0.03562335350034118,28071.472832854506,0.03562335350034118,0.7570390007458627,1.0221150005236268,0.9123,9123,10000
4096,8,768,32,19.77290124800129,0.06727961050091835,14863.344073407652,0.06727961050091835,0.743779499316588,1.0308250020898413,0.9498,9498,10000
