graph_degree,intermediate_graph_degree,build_algo,compression_enabled,compression_pq_bits,compression_pq_dim,enable_exact_rerank,rerank_candidate_k,search_k,exact_rerank,rerank_backend,rerank_storage_dtype,itopk_size,max_queries,max_iterations,algo,team_size,search_width,min_iterations,thread_block_size,hashmap_mode,hashmap_min_bitlen,hashmap_max_fill_rate,num_random_samplings,rand_xor_mask,n_rows_per_batch,build_time,search_time,queries_per_second,latency_per_query,online_median_latency_ms,online_p95_latency_ms,recall_at_10,total_correct,total_possible
16,32,ivf_pq,True,8,384,False,0,10,False,none,none,16,64,0,auto,0,1,0,0,auto,0,0.5,1,1213332,64,19.21256497700233,0.0065110140003525885,153585.90842314996,0.0065110140003525885,0.3614999986893963,0.4824409988941625,0.7364,7364,10000
16,32,ivf_pq,True,8,384,False,0,10,False,none,none,16,64,0,auto,0,2,0,0,auto,0,0.5,1,1213332,64,19.21256497700233,0.007103825000740471,140769.23346165824,0.007103825000740471,0.3534009993018117,0.4254509985912591,0.8048,8048,10000
16,32,ivf_pq,True,8,384,False,0,10,False,none,none,16,128,0,auto,0,1,0,0,auto,0,0.5,1,1213332,128,19.21256497700233,0.0034806595012923935,287301.87472480227,0.0034806595012923935,0.3537159991537919,0.5324710000422783,0.7393,7393,10000
16,32,ivf_pq,True,8,384,False,0,10,False,none,none,16,128,0,auto,0,2,0,0,auto,0,0.5,1,1213332,128,19.21256497700233,0.004287885998564889,233215.15551828797,0.004287885998564889,0.41005099956237245,0.4632599993783515,0.7994,7994,10000
16,32,ivf_pq,True,8,384,False,0,10,False,none,none,24,64,0,auto,0,1,0,0,auto,0,0.5,1,1213332,64,19.21256497700233,0.006673669999145204,149842.5903780206,0.006673669999145204,0.3526460004650289,0.5112110011395998,0.7364,7364,10000
16,32,ivf_pq,True,8,384,False,0,10,False,none,none,24,64,0,auto,0,2,0,0,auto,0,0.5,1,1213332,64,19.21256497700233,0.00747770549969573,133730.8616982429,0.00747770549969573,0.42290100100217387,0.8884019989636727,0.8046,8046,10000
16,32,ivf_pq,True,8,384,False,0,10,False,none,none,24,128,0,auto,0,1,0,0,auto,0,0.5,1,1213332,128,19.21256497700233,0.003739220001079957,267435.4543758274,0.003739220001079957,0.35503049912222195,0.5473809978866484,0.7393,7393,10000
16,32,ivf_pq,True,8,384,False,0,10,False,none,none,24,128,0,auto,0,2,0,0,auto,0,0.5,1,1213332,128,19.21256497700233,0.004365460999906645,229070.88163687292,0.004365460999906645,0.4435159989952808,0.6895610022183973,0.7997,7997,10000
16,32,ivf_pq,True,8,384,False,0,10,False,none,none,32,64,0,auto,0,1,0,0,auto,0,0.5,1,1213332,64,19.21256497700233,0.0075925504988845205,131708.04726908536,0.0075925504988845205,0.43413049934315495,0.5073110005469061,0.7364,7364,10000
16,32,ivf_pq,True,8,384,False,0,10,False,none,none,32,64,0,auto,0,2,0,0,auto,0,0.5,1,1213332,64,19.21256497700233,0.007639186000233167,130903.99945353832,0.007639186000233167,0.3708454969455488,1.4469320012722164,0.8039,8039,10000
16,32,ivf_pq,True,8,384,False,0,10,False,none,none,32,128,0,auto,0,1,0,0,auto,0,0.5,1,1213332,128,19.21256497700233,0.003999205999207334,250049.63490207953,0.003999205999207334,0.43018550059059635,0.5624410005111713,0.7393,7393,10000
16,32,ivf_pq,True,8,384,False,0,10,False,none,none,32,128,0,auto,0,2,0,0,auto,0,0.5,1,1213332,128,19.21256497700233,0.005015492501115659,199382.21416492146,0.005015492501115659,0.3928754995285999,0.7703810006205458,0.7995,7995,10000
16,32,ivf_pq,True,8,384,False,0,10,False,none,none,48,64,0,auto,0,1,0,0,auto,0,0.5,1,1213332,64,19.21256497700233,0.007305810500838561,136877.3526065616,0.007305810500838561,0.34451049941708334,0.6315110003924929,0.8039,8039,10000
16,32,ivf_pq,True,8,384,False,0,10,False,none,none,48,64,0,auto,0,2,0,0,auto,0,0.5,1,1213332,64,19.21256497700233,0.0076701210000464926,130376.03969923532,0.0076701210000464926,0.35344550087756943,0.471970000944566,0.8048,8048,10000
16,32,ivf_pq,True,8,384,False,0,10,False,none,none,48,128,0,auto,0,1,0,0,auto,0,0.5,1,1213332,128,19.21256497700233,0.0046193769994715694,216479.40839520012,0.0046193769994715694,0.3945359985664254,0.6706610001856461,0.7993,7993,10000
16,32,ivf_pq,True,8,384,False,0,10,False,none,none,48,128,0,auto,0,2,0,0,auto,0,0.5,1,1213332,128,19.21256497700233,0.0046102970009087585,216905.76546432584,0.0046102970009087585,0.40108049870468676,0.4975709998689126,0.7995,7995,10000
16,32,ivf_pq,True,8,384,False,0,10,False,none,none,64,64,0,auto,0,1,0,0,auto,0,0.5,1,1213332,64,19.21256497700233,0.007077405000018189,141294.72596204825,0.007077405000018189,0.35475999902701005,0.9944609992089681,0.8045,8045,10000
16,32,ivf_pq,True,8,384,False,0,10,False,none,none,64,64,0,auto,0,2,0,0,auto,0,0.5,1,1213332,64,19.21256497700233,0.007369870498223463,135687.59454335785,0.007369870498223463,0.38655049866065383,0.46448099965346046,0.8046,8046,10000
16,32,ivf_pq,True,8,384,False,0,10,False,none,none,64,128,0,auto,0,1,0,0,auto,0,0.5,1,1213332,128,19.21256497700233,0.004733711501103244,211250.72784155497,0.004733711501103244,0.40373049887421075,0.555701000848785,0.7995,7995,10000
16,32,ivf_pq,True,8,384,False,0,10,False,none,none,64,128,0,auto,0,2,0,0,auto,0,0.5,1,1213332,128,19.21256497700233,0.004450916498171864,224672.82871083572,0.004450916498171864,0.43939050010521896,0.46590099736931734,0.7996,7996,10000
24,48,ivf_pq,True,8,384,False,0,10,False,none,none,16,64,0,auto,0,1,0,0,auto,0,0.5,1,1213332,64,20.547882827999274,0.008018466000066837,124712.13321745888,0.008018466000066837,0.41274600152974017,0.5166110022400972,0.7933,7933,10000
24,48,ivf_pq,True,8,384,False,0,10,False,none,none,16,64,0,auto,0,2,0,0,auto,0,0.5,1,1213332,64,20.547882827999274,0.01460841150037595,68453.7124364456,0.01460841150037595,0.3990760014858097,0.7026519997452851,0.8252,8252,10000
24,48,ivf_pq,True,8,384,False,0,10,False,none,none,16,128,0,auto,0,1,0,0,auto,0,0.5,1,1213332,128,20.547882827999274,0.004811221999261761,207847.40345663557,0.004811221999261761,0.3937604997190647,0.47253099910449237,0.7925,7925,10000
24,48,ivf_pq,True,8,384,False,0,10,False,none,none,16,128,0,auto,0,2,0,0,auto,0,0.5,1,1213332,128,20.547882827999274,0.005970574000457418,167488.08404742792,0.005970574000457418,0.4643555002985522,0.8766310020291712,0.8249,8249,10000
24,48,ivf_pq,True,8,384,False,0,10,False,none,none,24,64,0,auto,0,1,0,0,auto,0,0.5,1,1213332,64,20.547882827999274,0.008521452500644955,117350.88588762467,0.008521452500644955,0.3880459989886731,0.39903099968796596,0.7933,7933,10000
24,48,ivf_pq,True,8,384,False,0,10,False,none,none,24,64,0,auto,0,2,0,0,auto,0,0.5,1,1213332,64,20.547882827999274,0.009012423999593011,110957.93984450339,0.009012423999593011,0.3931360006390605,0.4031999997096136,0.8252,8252,10000
24,48,ivf_pq,True,8,384,False,0,10,False,none,none,24,128,0,auto,0,1,0,0,auto,0,0.5,1,1213332,128,20.547882827999274,0.004723337000541505,211714.72623811415,0.004723337000541505,0.38848099757160526,0.4017999999632593,0.7925,7925,10000
24,48,ivf_pq,True,8,384,False,0,10,False,none,none,24,128,0,auto,0,2,0,0,auto,0,0.5,1,1213332,128,20.547882827999274,0.0059584539994830266,167828.76902074984,0.0059584539994830266,0.4319909985497361,1.1886819993378595,0.8249,8249,10000
24,48,ivf_pq,True,8,384,False,0,10,False,none,none,32,64,0,auto,0,1,0,0,auto,0,0.5,1,1213332,64,20.547882827999274,0.008513217499057646,117464.40169192119,0.008513217499057646,0.44995049938734155,1.297332000831375,0.7933,7933,10000
24,48,ivf_pq,True,8,384,False,0,10,False,none,none,32,64,0,auto,0,2,0,0,auto,0,0.5,1,1213332,64,20.547882827999274,0.009055488500962383,110430.26556697894,0.009055488500962383,0.4077104986208724,0.742731001082575,0.8252,8252,10000
24,48,ivf_pq,True,8,384,False,0,10,False,none,none,32,128,0,auto,0,1,0,0,auto,0,0.5,1,1213332,128,20.547882827999274,0.0046115365003061015,216847.46503331864,0.0046115365003061015,0.3874610010825563,0.43238100261078216,0.7925,7925,10000
24,48,ivf_pq,True,8,384,False,0,10,False,none,none,32,128,0,auto,0,2,0,0,auto,0,0.5,1,1213332,128,20.547882827999274,0.005575507999310503,179355.85423313273,0.005575507999310503,0.4312305009079864,0.659491000988055,0.8249,8249,10000
24,48,ivf_pq,True,8,384,False,0,10,False,none,none,48,64,0,auto,0,1,0,0,auto,0,0.5,1,1213332,64,20.547882827999274,0.0090728279974428,110219.2172365499,0.0090728279974428,0.3900950014212867,0.3962199989473447,0.8252,8252,10000
24,48,ivf_pq,True,8,384,False,0,10,False,none,none,48,64,0,auto,0,2,0,0,auto,0,0.5,1,1213332,64,20.547882827999274,0.008181291999790119,122230.08297780518,0.008181291999790119,0.39351599843939766,0.39724000089336187,0.8253,8253,10000
24,48,ivf_pq,True,8,384,False,0,10,False,none,none,48,128,0,auto,0,1,0,0,auto,0,0.5,1,1213332,128,20.547882827999274,0.0053057280001667095,188475.5494379997,0.0053057280001667095,0.4311360007704934,0.43827099943882786,0.825,8250,10000
24,48,ivf_pq,True,8,384,False,0,10,False,none,none,48,128,0,auto,0,2,0,0,auto,0,0.5,1,1213332,128,20.547882827999274,0.005458297999211936,183207.2928492323,0.005458297999211936,0.4311755001253914,0.6316709987004288,0.825,8250,10000
24,48,ivf_pq,True,8,384,False,0,10,False,none,none,64,64,0,auto,0,1,0,0,auto,0,0.5,1,1213332,64,20.547882827999274,0.008330112001203815,120046.40512102193,0.008330112001203815,0.39681549969827756,0.40044100023806095,0.8252,8252,10000
24,48,ivf_pq,True,8,384,False,0,10,False,none,none,64,64,0,auto,0,2,0,0,auto,0,0.5,1,1213332,64,20.547882827999274,0.00834166750064469,119880.10789482013,0.00834166750064469,0.3927610014216043,0.4005599985248409,0.8254,8254,10000
24,48,ivf_pq,True,8,384,False,0,10,False,none,none,64,128,0,auto,0,1,0,0,auto,0,0.5,1,1213332,128,20.547882827999274,0.005532693499844754,180743.79143324308,0.005532693499844754,0.43217550046392716,0.4512900013651233,0.8247,8247,10000
24,48,ivf_pq,True,8,384,False,0,10,False,none,none,64,128,0,auto,0,2,0,0,auto,0,0.5,1,1213332,128,20.547882827999274,0.005231797500528046,191138.89631605006,0.005231797500528046,0.43165050010429695,0.5138710002938751,0.825,8250,10000
32,64,ivf_pq,True,8,384,False,0,10,False,none,none,16,64,0,auto,0,1,0,0,auto,0,0.5,1,1213332,64,20.184477607999725,0.008215077497879975,121727.3970036272,0.008215077497879975,0.4156404993409524,0.46912100151530467,0.8085,8085,10000
32,64,ivf_pq,True,8,384,False,0,10,False,none,none,16,64,0,auto,0,2,0,0,auto,0,0.5,1,1213332,64,20.184477607999725,0.010148350500458037,98538.18115119949,0.010148350500458037,0.45423550000123214,1.7679920019872952,0.832,8320,10000
