graph_degree,intermediate_graph_degree,build_algo,compression_enabled,compression_pq_bits,compression_pq_dim,enable_exact_rerank,rerank_candidate_k,search_k,exact_rerank,rerank_backend,rerank_storage_dtype,itopk_size,max_queries,max_iterations,algo,team_size,search_width,min_iterations,thread_block_size,hashmap_mode,hashmap_min_bitlen,hashmap_max_fill_rate,num_random_samplings,rand_xor_mask,n_rows_per_batch,build_time,search_time,queries_per_second,latency_per_query,online_median_latency_ms,online_p95_latency_ms,recall_at_10,total_correct,total_possible
16,32,ivf_pq,True,8,384,True,16,16,True,multi_gpu,float16,16,64,0,auto,0,1,0,0,auto,0,0.5,1,1213332,64,20.71042996899996,0.008840100999805145,113120.87950375705,0.008840100999805145,0.41299099939351436,0.47802100016269833,0.8029,8029,10000
16,32,ivf_pq,True,8,384,True,16,16,True,multi_gpu,float16,16,64,0,auto,0,2,0,0,auto,0,0.5,1,1213332,64,20.71042996899996,0.00949300800130004,105340.68862715093,0.00949300800130004,0.41183599932992365,0.4255210005794652,0.8912,8912,10000
16,32,ivf_pq,True,8,384,True,16,16,True,multi_gpu,float16,16,128,0,auto,0,1,0,0,auto,0,0.5,1,1213332,128,20.71042996899996,0.007096142999216681,140921.62462204983,0.007096142999216681,0.4231905004417058,0.8103210020635743,0.8102,8102,10000
16,32,ivf_pq,True,8,384,True,16,16,True,multi_gpu,float16,16,128,0,auto,0,2,0,0,auto,0,0.5,1,1213332,128,20.71042996899996,0.007718494000073406,129558.9528203934,0.007718494000073406,0.540185999852838,0.6174610025482252,0.8948,8948,10000
16,32,ivf_pq,True,8,384,True,24,24,True,multi_gpu,float16,24,64,0,auto,0,1,0,0,auto,0,0.5,1,1213332,64,20.29273861799811,0.009731693000503583,102757.04339915504,0.009731693000503583,0.4437810002855258,0.5011909997847397,0.8188,8188,10000
16,32,ivf_pq,True,8,384,True,24,24,True,multi_gpu,float16,24,64,0,auto,0,2,0,0,auto,0,0.5,1,1213332,64,20.29273861799811,0.010054398999272962,99458.95324746019,0.010054398999272962,0.46903600014047697,0.5529110021598171,0.904,9040,10000
16,32,ivf_pq,True,8,384,True,24,24,True,multi_gpu,float16,24,128,0,auto,0,1,0,0,auto,0,0.5,1,1213332,128,20.29273861799811,0.005942341500485782,168283.83220961818,0.005942341500485782,0.5131409980094759,0.6652409974776674,0.8077,8077,10000
16,32,ivf_pq,True,8,384,True,24,24,True,multi_gpu,float16,24,128,0,auto,0,2,0,0,auto,0,0.5,1,1213332,128,20.29273861799811,0.006957023000722984,143739.64264543593,0.006957023000722984,0.5904659992665984,0.6752910012437496,0.9072,9072,10000
16,32,ivf_pq,True,8,384,True,32,32,True,multi_gpu,float16,32,64,0,auto,0,1,0,0,auto,0,0.5,1,1213332,64,19.30351698300001,0.010045878998425906,99543.30528535039,0.010045878998425906,0.4658309990190901,0.6056710008124355,0.8132,8132,10000
16,32,ivf_pq,True,8,384,True,32,32,True,multi_gpu,float16,32,64,0,auto,0,2,0,0,auto,0,0.5,1,1213332,64,19.30351698300001,0.009661143001721939,103507.42141191436,0.009661143001721939,0.4524060004769126,0.7420719994115643,0.9136,9136,10000
